,date,libelle,debit,credit,solde
0,2021-01-01,Achat de devises,15000,0,25000
1,2021-01-02,Transfert interne,5000,0,20000
2,2021-01-03,Depot especes,0,10000,30000
3,2021-01-04,Prelevement Banque A,2000,0,28000
4,2021-01-05,Virement client,0,7000,35000
5,2021-01-06,Paiement fournisseur,15000,0,20000
6,2021-01-07,Retrait Guichet automatique,3000,0,17000
7,2021-01-08,Depot cheque,0,5000,22000
8,2021-01-09,Virement salaire,0,12000,34000
9,2021-01-10,Remboursement pret,5000,0,29000
10,2021-01-11,Transfert Europe,7000,0,22000
11,2021-01-12,Achat de titres,10000,0,12000
12,2021-01-13,Remboursement client,0,8000,20000
13,2021-01-14,Prelevement Banque B,4000,0,16000
14,2021-01-15,Virement international,6000,0,10000
15,2021-01-16,Depot especes,0,11000,21000
16,2021-01-17,Paiement loyer,8000,0,13000
17,2021-01-18,Virement entre comptes,2000,0,11000
18,2021-01-19,Achat de materiels,12000,0,-1000
19,2021-01-20,Transfert Maroc,5000,0,-6000
20,2021-01-21,Virement emprunt,0,9000,3000
21,2021-01-22,Remboursement avance,0,3000,6000
22,2021-01-23,Depot cheque,0,7000,13000
23,2021-01-24,Retrait Guichet automatique,2000,0,11000
24,2021-01-25,Virement associe,0,5000,16000
25,2021-01-26,Paiement facture,9000,0,7000
26,2021-01-27,Achat de terres,14000,0,-7000
27,2021-01-28,Remboursement marge de credit,3000,0,-10000
28,2021-01-29,Virement associe,0,8000,-2000
29,2021-01-30,Service bancaire,1000,0,-3000
30,2021-01-31,Transfert national,4000,0,-7000
31,2021-02-01,Depot especes,0,10000,3000
32,2021-02-02,Paiement fournisseur,12000,0,-9000
33,2021-02-03,Remboursement client,0,6000,-3000
34,2021-02-04,Virement salaire,0,11000,8000
35,2021-02-05,Transfert interne,3000,0,5000
36,2021-02-06,Retrait Guichet automatique,2000,0,3000
37,2021-02-07,Depot cheque,0,8000,11000
38,2021-02-08,Virement entre comptes,2000,0,9000
39,2021-02-09,Achat de titres,9000,0,0
40,2021-02-10,Paiement loyer,6000,0,-6000
41,2021-02-11,Virement associe,0,5000,-1000
42,2021-02-12,Retrait Guichet automatique,2000,0,-3000
43,2021-02-13,Achat de materiels,4000,0,-7000
44,2021-02-14,Remboursement pret,5000,0,-12000
45,2021-02-15,Virement international,7000,0,-19000
