nom_client,type_investissement,montant_investi,date_investissement
Fattah Group,Actions,200 000 MAD,2021-03-15
Hassani Entreprises,Obligations,350 000 MAD,2021-02-28
Yassin Investissements,Immobilier,1 500 000 MAD,2021-04-10
Lamrani & Co.,SICAV,600 000 MAD,2021-01-20
Benjelloun Group,Dépôt à terme,800 000 MAD,2021-03-05
Amine Finances,Fonds commun de placement,450 000 MAD,2021-02-10
El Kabbaj Industries,Trading des devises,600 000 MAD,2021-04-05
Zerouali Patrimoine,Fonds d'investissement,900 000 MAD,2021-03-18
El Ghazi Group,Epargne retraite,250 000 MAD,2021-04-02
Ait Addi Holdings,Or et métaux précieux,700 000 MAD,2021-01-15
Ghazouani Solutions,Private Equity,1 200 000 MAD,2021-02-19
Saadani Capital,Produits structurés,1 000 000 MAD,2021-03-25
Bouabid Invest,Crypto-monnaies,300 000 MAD,2021-01-10
Laghzaoui Finance,Titres de créance,550 000 MAD,2021-03-30
Moussaoui Gestion,Marché des matières premières,850 000 MAD,2021-02-13
Berrada Invest,REITs,400 000 MAD,2021-04-08
Faraj Solutions,Investissement responsable,750 000 MAD,2021-01-22
Idriss Holdings,Produits dérivés,500 000 MAD,2021-03-12
Naji Finance,Crowdfunding,950 000 MAD,2021-02-05
Jalil Patrimoine,Microfinance,350 000 MAD,2021-04-15
Hamdi Solutions,Exchange-Traded Funds (ETFs),1 100 000 MAD,2021-03-08
Ziyati Invest,Pension de retraite professionnelle,600 000 MAD,2021-01-25
Chraibi Consulting,Réserve d'argent,200 000 MAD,2021-04-12
Saih Holdings,Financement participatif,1 350 000 MAD,2021-02-01
Essalhi Capital,Investissement solidaire,750 000 MAD,2021-03-20
Akkaoui Investissements,Sûreté financière,900 000 MAD,2021-01-30
Hafid Finances,Euronext Paris,850 000 MAD,2021-04-03
Qadiri & Co.,Comptes épargne,300 000 MAD,2021-02-15
Sabri Patrimoine,COMEX Bolsa,400 000 MAD,2021-03-10
Hakimi Finances,Indice de référence,450 000 MAD,2021-01-18
Tazi Investissements,Programme d'épargne,350 000 MAD,2021-04-05
Lachhab Gestion,Stock-options,250 000 MAD,2021-02-20
Rami Group,Participation salariale,500 000 MAD,2021-03-28
Harraq Solutions,Taux d'intérêt,650 000 MAD,2021-01-10
Qadiri Finance,Monnaie électronique,700 000 MAD,2021-04-02
Fassi Patrimoine,Primes de risque,850 000 MAD,2021-02-23
Mansouri Invest,Fonds d'assurance-vie,950 000 MAD,2021-03-07
Azmi Holding,Fiscalité des placements,400 000 MAD,2021-01-12
Daoudi Finances,Taux de change,550 000 MAD,2021-04-15
Seghir Gestion,Dépôt à vue,200 000 MAD,2021-02-18
Benslimane Solutions,Gestion de patrimoine,1 200 000 MAD,2021-03-05
Ouazzani Invest,Fiscalité locale,600 000 MAD,2021-01-28
Mahjoub Capital,Systèmes de paiement,750 000 MAD,2021-04-10
