,nom_client,type_investissement,montant_investi,date_investissement
0,Fattah Group,Actions,200 000 MAD,2021-03-15
1,Hassani Entreprises,Obligations,350 000 MAD,2021-02-28
2,Yassin Investissements,Immobilier,1 500 000 MAD,2021-04-10
3,Lamrani & Co.,SICAV,600 000 MAD,2021-01-20
4,Benjelloun Group,Depot a terme,800 000 MAD,2021-03-05
5,Amine Finances,Fonds commun de placement,450 000 MAD,2021-02-10
6,El Kabbaj Industries,Trading des devises,600 000 MAD,2021-04-05
7,Zerouali Patrimoine,Fonds dinvestissement,900 000 MAD,2021-03-18
8,El Ghazi Group,Epargne retraite,250 000 MAD,2021-04-02
9,Ait Addi Holdings,Or et metaux precieux,700 000 MAD,2021-01-15
10,Ghazouani Solutions,Private Equity,1 200 000 MAD,2021-02-19
11,Saadani Capital,Produits structures,1 000 000 MAD,2021-03-25
12,Bouabid Invest,Crypto-monnaies,300 000 MAD,2021-01-10
13,Laghzaoui Finance,Titres de creance,550 000 MAD,2021-03-30
14,Moussaoui Gestion,Marche des matieres premieres,850 000 MAD,2021-02-13
15,Berrada Invest,REITs,400 000 MAD,2021-04-08
16,Faraj Solutions,Investissement responsable,750 000 MAD,2021-01-22
17,Idriss Holdings,Produits derives,500 000 MAD,2021-03-12
18,Naji Finance,Crowdfunding,950 000 MAD,2021-02-05
19,Jalil Patrimoine,Microfinance,350 000 MAD,2021-04-15
20,Hamdi Solutions,Exchange-Traded Funds (ETFs),1 100 000 MAD,2021-03-08
21,Ziyati Invest,Pension de retraite professionnelle,600 000 MAD,2021-01-25
22,Chraibi Consulting,Reserve dargent,200 000 MAD,2021-04-12
23,Saih Holdings,Financement participatif,1 350 000 MAD,2021-02-01
24,Essalhi Capital,Investissement solidaire,750 000 MAD,2021-03-20
25,Akkaoui Investissements,Surete financiere,900 000 MAD,2021-01-30
26,Hafid Finances,Euronext Paris,850 000 MAD,2021-04-03
27,Qadiri & Co.,Comptes epargne,300 000 MAD,2021-02-15
28,Sabri Patrimoine,COMEX Bolsa,400 000 MAD,2021-03-10
29,Hakimi Finances,Indice de reference,450 000 MAD,2021-01-18
30,Tazi Investissements,Programme depargne,350 000 MAD,2021-04-05
31,Lachhab Gestion,Stock-options,250 000 MAD,2021-02-20
32,Rami Group,Participation salariale,500 000 MAD,2021-03-28
33,Harraq Solutions,Taux dinteret,650 000 MAD,2021-01-10
34,Qadiri Finance,Monnaie electronique,700 000 MAD,2021-04-02
35,Fassi Patrimoine,Primes de risque,850 000 MAD,2021-02-23
36,Mansouri Invest,Fonds dassurance-vie,950 000 MAD,2021-03-07
37,Azmi Holding,Fiscalite des placements,400 000 MAD,2021-01-12
38,Daoudi Finances,Taux de change,550 000 MAD,2021-04-15
39,Seghir Gestion,Depot a vue,200 000 MAD,2021-02-18
40,Benslimane Solutions,Gestion de patrimoine,1 200 000 MAD,2021-03-05
41,Ouazzani Invest,Fiscalite locale,600 000 MAD,2021-01-28
42,Mahjoub Capital,Systemes de paiement,750 000 MAD,2021-04-10
