devise,montant,date,type_operation
EUR,5000,2021-09-15,Achat
USD,3000,2021-09-16,Vente
GBP,7000,2021-09-17,Achat
JPY,2500,2021-09-18,Vente
CHF,4500,2021-09-19,Achat
CAD,6000,2021-09-20,Vente
AUD,3500,2021-09-21,Achat
CNY,4800,2021-09-22,Vente
AED,5200,2021-09-23,Achat
INR,2700,2021-09-24,Vente
DKK,4100,2021-09-25,Achat
RUB,3800,2021-09-26,Vente
SEK,5900,2021-09-27,Achat
SGD,3200,2021-09-28,Vente
HKD,4300,2021-09-29,Achat
ZAR,7500,2021-09-30,Vente
KRW,3600,2021-10-01,Achat
BRL,4900,2021-10-02,Vente
NOK,6800,2021-10-03,Achat
MXN,2600,2021-10-04,Vente
TRY,5800,2021-10-05,Achat
ILS,3100,2021-10-06,Vente
MYR,4400,2021-10-07,Achat
SAR,5100,2021-10-08,Vente
NZD,4200,2021-10-09,Achat
IDR,3200,2021-10-10,Vente
QAR,4700,2021-10-11,Achat
HUF,6300,2021-10-12,Vente
PLN,3400,2021-10-13,Achat
THB,4600,2021-10-14,Vente
CZK,3900,2021-10-15,Achat
CLP,3700,2021-10-16,Vente
EGP,4000,2021-10-17,Achat
HUF,4300,2021-10-18,Vente
KWD,6500,2021-10-19,Achat
OMR,5400,2021-10-20,Vente
RSD,3100,2021-10-21,Achat
TND,4300,2021-10-22,Vente
HNL,4700,2021-10-23,Achat
BAM,5500,2021-10-24,Vente
XOF,3900,2021-10-25,Achat
MAD,5600,2021-10-26,Vente
TWD,3300,2021-10-27,Achat
KZT,4200,2021-10-28,Vente
AZN,4800,2021-10-29,Achat
UZS,3700,2021-10-30,Vente
