,id,type_offre,description,date_debut,date_fin
0,1,Carte Bancaire,Profitez de 50% de reduction sur les frais de la premiere annee de votre carte bancaire premium.,2022-08-15,2022-09-15
1,2,Credit Immobilier,Obtenez un taux preferentiel de 2.5% pour votre credit immobilier avec la Banque Centrale Populaire.,2022-07-20,2022-10-20
2,3,Epargne,Faites fructifier votre epargne avec un taux dinteret de 3% garanti pendant un an.,2022-06-10,2023-06-10
3,4,Assurance Auto,Assurez votre vehicule avec notre assurance auto complete et beneficiez de 1 mois gratuit.,2022-09-01,2022-10-01
4,5,Pret Personnel,Besoin dun coup de pouce financier ? Profitez de notre pret personnel a taux avantageux.,2022-08-05,2022-09-05
5,6,Compte Jeune,Ouvrez un compte jeune pour vos enfants et beneficiez de 20% de reduction sur les frais de gestion.,2022-07-15,2022-08-15
6,7,Assurance Voyage,Assurez vos voyages a letranger avec notre assurance voyage et voyagez lesprit tranquille.,2022-09-10,2022-12-10
7,8,Compte Entreprise,Profitez de tarifs avantageux pour la gestion de vos comptes dentreprise avec BCP.,2022-08-20,2022-11-20
8,9,Epargne Logement,Un projet immobilier en vue ? Epargnez avec notre compte epargne logement et beneficiez de conseils personnalises.,2022-07-30,2023-07-30
9,10,Assurance Sante,Protegez votre sante et celle de votre famille avec une assurance sante sur-mesure.,2022-08-25,2022-09-25
10,11,Paiement Mobile,Gerez vos paiements en toute simplicite avec notre application de paiement mobile securisee.,2022-09-05,2022-10-05
11,12,Pret Etudiant,Financez vos etudes avec notre pret etudiant a des conditions avantageuses.,2022-07-25,2022-08-25
12,13,Epargne Retraite,Preparez sereinement votre retraite en investissant dans un plan depargne retraite performant.,2022-08-30,2023-08-30
13,14,Assurance Habitation,Protegez votre domicile et vos biens avec notre assurance habitation complete.,2022-09-15,2022-10-15
14,15,Investissement,Diversifiez vos investissements avec nos solutions dinvestissement personnalisees.,2022-08-10,2022-11-10
