date_transaction,heure_transaction,beneficiaire,montant,type_transaction,categorie
2022-01-03,10:15:00,Café Restaurant La Gazelle,250.5,Dépense,Restauration
2022-01-05,14:30:00,Station-service Afriquia,65.9,Dépense,Carburant
2022-01-10,08:45:00,Electroplanet,3200.0,Dépense,Électronique
2022-01-12,17:20:00,Supermarché Marjane,580.3,Dépense,Alimentation
2022-01-15,12:00:00,Télécom Maroc,450.0,Dépense,Télécommunications
2022-01-18,16:30:00,Pharmacie Al Wifaq,120.7,Dépense,Santé
2022-01-20,11:10:00,Assurance AXA,895.2,Dépense,Assurance
2022-01-22,09:40:00,Impôts et Taxe MTD,800.0,Dépense,Fiscalité
2022-01-25,13:45:00,Cinéma Megarama,70.0,Dépense,Divertissement
2022-01-28,15:20:00,Cabinet d'Avocats Aloui,1800.0,Dépense,Services Juridiques
2022-01-31,10:55:00,Ecole Privée Al Amal,450.0,Dépense,Éducation
2022-02-03,10:15:00,Café Restaurant Camélia,280.5,Dépense,Restauration
2022-02-05,14:30:00,Station-service Shell,55.9,Dépense,Carburant
2022-02-10,08:45:00,Maison de la Presse,120.0,Dépense,Presse et Médias
2022-02-12,17:20:00,Fromagerie La Favorite,165.8,Dépense,Alimentation
2022-02-15,12:00:00,Opérateur Téléphonie Inwi,380.0,Dépense,Télécommunications
2022-02-18,16:30:00,Laboratoire d'Analyses Médicales Anoual,75.9,Dépense,Santé
2022-02-20,11:10:00,Assurance CNIA Saada,950.2,Dépense,Assurance
2022-02-22,09:40:00,Trésorerie Générale du Royaume,760.0,Dépense,Fiscalité
2022-02-25,13:45:00,Parc d'Attractions Sindibad,50.0,Dépense,Divertissement
2022-02-28,15:20:00,Cabinet de Notaires Belakhdar,2100.0,Dépense,Services Juridiques
2022-03-03,10:15:00,Café Restaurant Jamaa Lafna,310.7,Dépense,Restauration
2022-03-05,14:30:00,Station-service Total,70.9,Dépense,Carburant
2022-03-10,08:45:00,Librairie Papeterie Al Manar,85.0,Dépense,Papeterie
2022-03-12,17:20:00,Boucherie Charcuterie La Rose,97.2,Dépense,Alimentation
2022-03-15,12:00:00,Fournisseur Internet Maroc Telecom,520.0,Dépense,Télécommunications
2022-03-18,16:30:00,Clinique du Souffle,235.6,Dépense,Santé
2022-03-20,11:10:00,Assurance Atlanta,750.2,Dépense,Assurance
2022-03-22,09:40:00,Direction Générale des Impôts,1100.0,Dépense,Fiscalité
2022-03-25,13:45:00,Parc Zoologique de Rabat,20.0,Dépense,Divertissement
2022-03-28,15:20:00,Cabinet d'Expertise Comptable Ficadev,1500.0,Dépense,Services Comptables
2022-04-03,10:15:00,Café Restaurant Riad Majd,260.9,Dépense,Restauration
2022-04-05,14:30:00,Station-service BP,80.0,Dépense,Carburant
2022-04-10,08:45:00,Magasin de Chaussures La Star,150.6,Dépense,Mode et Chaussures
2022-04-12,17:20:00,Pâtisserie Le Diamant,42.3,Dépense,Alimentation
2022-04-15,12:00:00,Fournisseur TV Satellite Digisat,180.0,Dépense,Télécommunications
2022-04-18,16:30:00,Centre Médical Ibn Rochd,45.1,Dépense,Santé
2022-04-20,11:10:00,Assurance Allianz,1100.2,Dépense,Assurance
2022-04-22,09:40:00,Agence Nationale des Ports,650.0,Dépense,Transport
2022-04-25,13:45:00,Parc Aquatique Oasiria,35.0,Dépense,Divertissement
2022-04-28,15:20:00,Cabinet d'Avocats Fels,1950.0,Dépense,Services Juridiques
