date,montant,beneficiaire,description
2021-05-01,15300,Hassan Trading Company,Achat de marchandises pour la saison estivale
2021-05-02,7600,Supermarché Zineb,Règlement de facture d'approvisionnement en produits frais
2021-05-03,4500,Café du coin,Versement pour l'achat de matières premières
2021-05-04,28500,Société de distribution Medina,Paiement pour les services de logistique et livraison
2021-05-05,9600,Magasin d'électroménager Yassir,Achat d'équipements pour le bureau
2021-05-06,6200,Librairie Al Kitab,Paiement des fournitures scolaires
2021-05-07,17300,Centre de formation ProFuture,Versement pour les formations du personnel
2021-05-08,5200,Imprimerie Express,Paiement pour les services d'impression de flyers
2021-05-09,13500,Boucherie Mounir,Achat de viande pour le restaurant
2021-05-10,10200,Ecole privée Amine,Règlement des frais de scolarité
2021-05-11,9200,Agence de voyages Atlas,Paiement des réservations pour les vacances d'été
2021-05-12,18600,Entreprise de nettoyage Pureté,Paiement pour les services de nettoyage et entretien
2021-05-13,7400,Cabinet médical Al Baraka,Règlement des honoraires des consultations
2021-05-14,9500,Salon de coiffure Chic,Paiement pour les prestations de coiffure
2021-05-15,16300,Boulangerie Amal,Achat de pain et de pâtisseries pour le magasin
2021-05-16,8800,Epicerie Fine Maroc,Paiement pour les produits d'épicerie haut de gamme
2021-05-17,16200,Pharmacie La Référence,Versement pour les médicaments et fournitures médicales
2021-05-18,7900,Garage Auto Plus,Paiement pour la réparation et l'entretien de véhicules
2021-05-19,14900,Boutique de mode Fashionista,Achat de vêtements pour la nouvelle collection
2021-05-20,6100,Magasin de décoration Artisanat Marocain,Paiement pour les articles de décoration artisanale
2021-05-21,10500,Cinéma Lumières,Règlement pour la location d'équipements d'affichage
2021-05-22,13400,Laboratoire d'analyse Biogen,Paiement pour les tests médicaux et les analyses
2021-05-23,9800,Crèche Les Petits Anges,Versement pour la garde d'enfants
2021-05-24,17300,Parfumerie Orientale,Achat de parfums et de cosmétiques de luxe
2021-05-25,6800,Pizzeria Bella Napoli,Paiement pour les pizzas livrées au bureau
2021-05-26,11200,Salon de thé Le Jasmin,Versement pour les boissons et les pâtisseries
2021-05-27,14500,Bibliothèque Nationale du Maroc,Paiement pour l'adhésion et les services documentaires
2021-05-28,9200,Salon Spa Oasis,Règlement pour les soins du corps et les massages
2021-05-29,16300,Jardinerie Floraison,Achat de plantes et de fleurs pour les jardins
2021-05-30,7800,Atelier de réparation Maalem Auto,Paiement pour les services de réparation de véhicules
2021-05-31,13200,Salon de beauté Prestige,Versement pour les soins esthétiques et les coiffures
2021-06-01,12500,Boulangerie Pâtisserie Gourmandise,Achat de pains spéciaux et de gâteaux pour la fête
2021-06-02,4600,Pressing Moderne,Paiement pour le nettoyage à sec des vêtements
2021-06-03,16800,Agence de Communication Vision,Règlement pour les services de marketing et de publicité
2021-06-04,9200,Ecole de Musique Harmonie,Paiement des cours de musique pour les enfants
2021-06-05,13700,Patisserie Fine Orientale,Achat de pâtisseries traditionnelles pour l'événement
2021-06-06,7800,Librairie La Plume Magique,Versement pour les livres de la rentrée scolaire
2021-06-07,9200,Salon de Manucure Charme,Paiement pour les soins des ongles et la manucure
2021-06-08,14300,Chocolaterie Artisanale ChocoDélice,Achat de chocolats et de confiseries artisanales
2021-06-09,6900,Boulangerie Bio Nature,Paiement pour les pains et viennoiseries bio
2021-06-10,11800,Salon de Coiffure Prestige,Règlement pour les coupes de cheveux et colorations
2021-06-11,15200,Cafétéria Créative,Versement pour les boissons et les collations
