,date,compte,debit,credit,solde,operation
0,2022-01-01,Compte courant,10000,8000,2000,Virement
1,2022-01-03,Compte depargne,5000,7000,7000,Retrait
2,2022-01-05,Compte courant,4000,6000,2000,Paiement par carte
3,2022-01-08,Compte depargne,2000,3000,8000,Virement
4,2022-01-11,Compte courant,3000,4500,3500,Retrait
5,2022-01-14,Compte depargne,6000,7000,9000,Paiement par carte
6,2022-01-17,Compte courant,2000,3500,500,Virement
7,2022-01-20,Compte depargne,1000,1500,9500,Retrait
8,2022-01-23,Compte courant,5000,6000,3500,Paiement par carte
9,2022-01-26,Compte depargne,3000,3500,10000,Virement
10,2022-01-29,Compte courant,4000,4500,3000,Retrait
11,2022-02-01,Compte depargne,6000,7000,13000,Paiement par carte
12,2022-02-04,Compte courant,2000,3000,1000,Virement
13,2022-02-07,Compte depargne,1000,1500,11500,Retrait
14,2022-02-10,Compte courant,5000,6000,5000,Paiement par carte
15,2022-02-13,Compte depargne,3000,3500,15000,Virement
16,2022-02-16,Compte courant,4000,4500,6000,Retrait
17,2022-02-19,Compte depargne,2000,2500,17000,Paiement par carte
18,2022-02-22,Compte courant,1000,1500,5500,Virement
19,2022-02-25,Compte depargne,5000,6000,21000,Retrait
20,2022-02-28,Compte courant,3000,3500,3000,Paiement par carte
21,2022-03-03,Compte depargne,2000,2500,18500,Virement
22,2022-03-06,Compte courant,1000,1500,2500,Retrait
23,2022-03-09,Compte depargne,4000,5000,19500,Paiement par carte
24,2022-03-12,Compte courant,3000,3500,3000,Virement
25,2022-03-15,Compte depargne,1000,1500,19000,Retrait
26,2022-03-18,Compte courant,4000,4500,3500,Paiement par carte
27,2022-03-21,Compte depargne,5000,6000,23000,Virement
28,2022-03-24,Compte courant,2000,2500,3000,Retrait
29,2022-03-27,Compte depargne,3000,3500,19500,Paiement par carte
30,2022-03-30,Compte courant,1000,1500,2500,Virement
31,2022-04-02,Compte depargne,5000,6000,23500,Retrait
32,2022-04-05,Compte courant,2000,2500,2000,Paiement par carte
33,2022-04-08,Compte depargne,1000,1500,22000,Virement
34,2022-04-11,Compte courant,4000,4500,5500,Retrait
35,2022-04-14,Compte depargne,2000,2500,24500,Paiement par carte
36,2022-04-17,Compte courant,1000,1500,5000,Virement
