nom_entreprise,adresse,responsable_immobilier,montant_loyer,statut_paiement
Société Marocaine de Distribution,"Avenue Hassan II, Casablanca",Fatima Zahra El Ouafi,25000,à jour
Pharmacie Najat,"Rue Ibn Toumart, Rabat",Karim El Alami,18000,en retard
Global Co.,"Lotissement El Massira, Tanger",Souad Benali,32000,à jour
Laboratoire Biopharm,"Zone d'activités Yacoub El Mansour, Fès",Adil Berrada,28000,en retard
Agence de Communication Alpha,"Rue des Entrepreneurs, Agadir",Nadia Oujabour,20000,à jour
Industrie Métallurgique du Maroc,"Zone Industrielle Ain Harrouda, Casablanca",Mounir Ezzahi,35000,à jour
Clinique Al Amal,"Avenue Mohammed V, Marrakech",Leila Ait Melloul,30000,en retard
Ecole Des Arts et Métiers,"Km 7, Route d'El Jadida, Casablanca",Samir El Majdouli,22000,à jour
Société des Eaux du Maroc,"Avenue des FAR, Rabat",Amina El Khattabi,27000,en retard
Boulangerie Pâtisserie Le Fournil,"Rue Ibn Rochd, Tanger",Yassin Rida,19000,à jour
Centre Commercial Les Arcades,"Avenue Mohamed VI, Agadir",Loubna Ben Youssef,26000,en retard
Société de Transport Rapide,"Bir Rami Est, Tétouan",Khalid El Bakkali,24000,à jour
Cabinet Dentaire Dentist'One,"Rue Oued N'Fis, Marrakech",Hanane Chafik,32000,à jour
Industrie Textile Méditerranée,"Zone Industrielle Sidi Bernoussi, Casablanca",Reda Ezzouine,28000,en retard
Agence de Voyages Atlas Tours,"Avenue Hassan II, Tanger",Hind Belyamani,18000,en retard
Supermarché SuperTous,"Quartier Palmier, Rabat",Karima Benjelloun,30000,à jour
Bureau d'Architecture et Urbanisme,"Avenue des Nations Unies, Casablanca",Tarek Ouazzani,25000,à jour
Institut de Formation Professionnelle IFP,"Lotissement Hay Riad, Salé",Salma Sebbar,22000,à jour
Cabinet d'Experts Comptables Maghrébin,"Rue Oued Sebou, Tanger",Rachid Lahbabi,28000,en retard
Entreprise de Bâtiment et Travaux Publics,"Km 9, Route d'El Jadida, Casablanca",Mohamed Aït Ouhajjou,32000,à jour
Librairie Papeterie Univers,"Avenue Hassan II, Fès",Sara El Gueddari,19000,en retard
Hôtel La Palmeraie,"Avenue Mohamed V, Marrakech",Nabil El Mouradi,35000,à jour
Société de Maintenance Informatique,"Rue des Orangers, Agadir",Imane Jabrane,24000,à jour
Cabinet Médical Les Palmiers,"Avenue Mohammed VI, Tétouan",Othmane Harraq,26000,en retard
Ecole Supérieure d'Ingénierie et de Management,"Quartier Oasis, Casablanca",Amina Bennani,30000,en retard
Centre de Rééducation Physique et Sportive,"Route d'El Jadida, Marrakech",Rachida El Omari,28000,en retard
Société de Distribution Alimentaire,"Avenue Hassan II, Fès",Youssef El Harras,23000,à jour
Cabinet d'Avocats Al Mouwatin,"Avenue des FAR, Rabat",Nadia Boujida,31000,à jour
Agence de Design Intérieur Intérioré,"Boulevard Mohamed El Hansali, Tanger",Tarik El Fadli,21000,en retard
Laboratoire d'Analyses Médicales BioMed,"Rue Ibn Rochd, Tétouan",Salima Azzouzi,29000,à jour
Institut de Beauté Symphonie des Sens,"Avenue Mohammed VI, Casablanca",Sofia El Khalfi,27000,en retard
Ecole de Musique Harmonie,"Boulevard Hassan II, Agadir",Omar Ezzine,22000,à jour
Magasin de Chaussures Pieds Heureux,"Avenue Mohammed V, Marrakech",Fatima Sabri,27000,en retard
Société de Nettoyage et Entretien Propre Atout,"Quartier Palmier, Rabat",Lahcen Bouslam,30000,à jour
Agence de Publicité Publigraph,"Km 7, Route d'El Jadida, Casablanca",Fouad Bouchaib,23000,à jour
Café-Restaurant Les Oliviers,"Avenue Mohamed V, Fès",Nora El Kabbaj,26000,en retard
Bureau d'Etudes Architecturales MarocConception,"Rue des Orangers, Agadir",Yassine Benjelloun,32000,à jour
Chaîne de Télévision Atlantic TV,"Avenue des Nations Unies, Casablanca",Wissam Berrada,31000,à jour
Laboratoire de Recherche Scientifique AtlasLab,"Km 5, Route de l'Océan, Essaouira",Hanaâ Zouit,28000,en retard
Société d'Import-Export MedMAG,"Avenue Hassan II, Tanger",Imad Lahbabi,24000,à jour
