,id_operation,date_operation,montant,description
0,1,2021-08-05,7500,Transfert suspect a letranger
1,2,2021-07-20,12000,Retrait frauduleux au distributeur
2,3,2021-06-04,5000,Operation de phishing
3,4,2021-09-12,9500,Carte bancaire volee
4,5,2021-09-28,22000,Cheque falsifie
5,6,2021-08-18,3500,Operation de blanchiment dargent
6,7,2021-07-02,9000,Virement frauduleux interne
7,8,2021-10-09,6000,Usage abusif de la carte de credit
8,9,2021-11-15,15000,Escroquerie par hameconnage
9,10,2021-12-01,18000,Faux ordre de virement
10,11,2021-06-22,3000,Contrefacon de carte bancaire
11,12,2021-08-30,10500,Transfert vers un compte bloque
12,13,2021-10-16,7500,Fausse declaration didentite
13,14,2021-11-08,11500,Fraude a lassurance vie
14,15,2021-11-29,12500,Cheque sans provision
15,16,2021-09-06,8000,Operation de hacking
16,17,2021-07-15,4300,Escroquerie telephonique
17,18,2021-12-07,16500,Faux ordre permanent
18,19,2021-06-10,7000,Extorsion de fonds
19,20,2021-08-25,9500,Vol de portefeuille
20,21,2021-11-18,22000,Virement frauduleux international
21,22,2021-09-02,6800,Utilisation de faux documents
22,23,2021-10-20,13500,Cheque vole
23,24,2021-07-07,5800,Transfert vers un compte fantome
24,25,2021-06-14,9200,Tentative de paiement avec une carte bloquee
25,26,2021-08-12,4400,Fraude a la carte de debit
26,27,2021-09-24,9900,Cheque falsifie
27,28,2021-12-15,11700,Virement vers un compte etranger suspect
28,29,2021-11-01,13100,Harcelement pour obtenir des informations confidentielles
29,30,2021-10-09,6950,Detournement dun paiement en ligne
30,31,2021-08-22,8200,Vente fictive sur un site dannonces
31,32,2021-07-17,4500,Escroquerie en manipulant un distributeur automatique
32,33,2021-06-26,7400,Aveu de faux revenus pour obtenir un pret
33,34,2021-09-14,9900,Usurpation didentite pour ouvrir un compte
34,35,2021-12-11,12300,Depot de faux billets
35,36,2021-11-04,11150,Pret obtenu avec de fausses informations
36,37,2021-10-18,7900,Vol de donnees clients pour une fraude future
37,38,2021-08-03,4700,Escroquerie par faux courriel de la banque
38,39,2021-12-02,8200,Detournement de fonds dune association
39,40,2021-09-20,6600,Usage de fausse carte didentite
40,41,2021-10-27,9300,Achat avec une carte volee
41,42,2021-06-30,5300,Virement dun compte inactif depuis des annees
42,43,2021-08-05,9600,Transfert suspect a letranger
43,44,2021-07-21,14600,Retrait frauduleux au distributeur
44,45,2021-06-06,5200,Operation de phishing
45,46,2021-09-14,9800,Carte bancaire volee
46,47,2021-09-30,22500,Cheque falsifie
47,48,2021-08-23,3700,Operation de blanchiment dargent
48,49,2021-07-06,9100,Virement frauduleux interne
49,50,2021-10-11,6200,Usage abusif de la carte de credit
