,date,montant,beneficiaire,description
0,2021-05-01,15300,Hassan Trading Company,Achat de marchandises pour la saison estivale
1,2021-05-02,7600,Supermarche Zineb,Reglement de facture dapprovisionnement en produits frais
2,2021-05-03,4500,Cafe du coin,Versement pour lachat de matieres premieres
3,2021-05-04,28500,Societe de distribution Medina,Paiement pour les services de logistique et livraison
4,2021-05-05,9600,Magasin delectromenager Yassir,Achat dequipements pour le bureau
5,2021-05-06,6200,Librairie Al Kitab,Paiement des fournitures scolaires
6,2021-05-07,17300,Centre de formation ProFuture,Versement pour les formations du personnel
7,2021-05-08,5200,Imprimerie Express,Paiement pour les services dimpression de flyers
8,2021-05-09,13500,Boucherie Mounir,Achat de viande pour le restaurant
9,2021-05-10,10200,Ecole privee Amine,Reglement des frais de scolarite
10,2021-05-11,9200,Agence de voyages Atlas,Paiement des reservations pour les vacances dete
11,2021-05-12,18600,Entreprise de nettoyage Purete,Paiement pour les services de nettoyage et entretien
12,2021-05-13,7400,Cabinet medical Al Baraka,Reglement des honoraires des consultations
13,2021-05-14,9500,Salon de coiffure Chic,Paiement pour les prestations de coiffure
14,2021-05-15,16300,Boulangerie Amal,Achat de pain et de patisseries pour le magasin
15,2021-05-16,8800,Epicerie Fine Maroc,Paiement pour les produits depicerie haut de gamme
16,2021-05-17,16200,Pharmacie La Reference,Versement pour les medicaments et fournitures medicales
17,2021-05-18,7900,Garage Auto Plus,Paiement pour la reparation et lentretien de vehicules
18,2021-05-19,14900,Boutique de mode Fashionista,Achat de vetements pour la nouvelle collection
19,2021-05-20,6100,Magasin de decoration Artisanat Marocain,Paiement pour les articles de decoration artisanale
20,2021-05-21,10500,Cinema Lumieres,Reglement pour la location dequipements daffichage
21,2021-05-22,13400,Laboratoire danalyse Biogen,Paiement pour les tests medicaux et les analyses
22,2021-05-23,9800,Creche Les Petits Anges,Versement pour la garde denfants
23,2021-05-24,17300,Parfumerie Orientale,Achat de parfums et de cosmetiques de luxe
24,2021-05-25,6800,Pizzeria Bella Napoli,Paiement pour les pizzas livrees au bureau
25,2021-05-26,11200,Salon de the Le Jasmin,Versement pour les boissons et les patisseries
26,2021-05-27,14500,Bibliotheque Nationale du Maroc,Paiement pour ladhesion et les services documentaires
27,2021-05-28,9200,Salon Spa Oasis,Reglement pour les soins du corps et les massages
28,2021-05-29,16300,Jardinerie Floraison,Achat de plantes et de fleurs pour les jardins
29,2021-05-30,7800,Atelier de reparation Maalem Auto,Paiement pour les services de reparation de vehicules
30,2021-05-31,13200,Salon de beaute Prestige,Versement pour les soins esthetiques et les coiffures
31,2021-06-01,12500,Boulangerie Patisserie Gourmandise,Achat de pains speciaux et de gateaux pour la fete
32,2021-06-02,4600,Pressing Moderne,Paiement pour le nettoyage a sec des vetements
33,2021-06-03,16800,Agence de Communication Vision,Reglement pour les services de marketing et de publicite
34,2021-06-04,9200,Ecole de Musique Harmonie,Paiement des cours de musique pour les enfants
35,2021-06-05,13700,Patisserie Fine Orientale,Achat de patisseries traditionnelles pour levenement
36,2021-06-06,7800,Librairie La Plume Magique,Versement pour les livres de la rentree scolaire
37,2021-06-07,9200,Salon de Manucure Charme,Paiement pour les soins des ongles et la manucure
38,2021-06-08,14300,Chocolaterie Artisanale ChocoDelice,Achat de chocolats et de confiseries artisanales
39,2021-06-09,6900,Boulangerie Bio Nature,Paiement pour les pains et viennoiseries bio
40,2021-06-10,11800,Salon de Coiffure Prestige,Reglement pour les coupes de cheveux et colorations
41,2021-06-11,15200,Cafeteria Creative,Versement pour les boissons et les collations
