,id,entreprise,secteur_activite,adresse,telephone
0,1,Societe de Construction Al Mada,BTP,"15 Rue Hassan II, Casablanca",0522 91 23 45
1,2,Societe dImport-Export Sahara,Import-Export,"10 Avenue Moulay Ismail, Agadir",0528 74 65 32
2,3,Pharmacie Al Ihsan,Pharmaceutique,"20 Rue Abou Bakr Essedik, Rabat",0537 32 98 76
3,4,Societe de Transport Logistique Express,Logistique,"8 Boulevard Mohamed V, Fes",0555 49 87 23
4,5,Cabinet dAvocats Benjelloun & Associes,Services juridiques,"30 Avenue Mohammed VI, Marrakech",0524 63 21 78
5,6,Agence de Communication Havas Maroc,Communication,"12 Rue Oued Sebou, Tanger",0539 88 74 65
6,7,Clinique des Oliviers,Sante,"5 Rue Ibn Toumert, Meknes",0535 27 12 49
7,8,Societe Informatique Netex,Informatique,"16 Rue Abou Bakr Essedik, Agadir",(212) 647-986-785
8,9,Cabinet dArchitectes Medina Design,Architecture,"9 Boulevard Al Massira, Casablanca",0522 46 23 11
9,10,Societe Agricole Atlas,Agriculture,"4 Avenue Al Farabi, Fes",0555 89 74 62
10,11,Agence de Voyages Atlas Sahara,Tourisme,"22 Rue des Farah, Marrakech",0524 33 75 19
11,12,Societe de Vente de Materiel Medical Zenith,Medical,"33 Rue Ibn Sina, Rabat",0537 54 32 96
12,13,Boulangerie-Patisserie Le Pain Dore,Alimentation,"7 Avenue Ibn Khaldoun, Tanger",0539 12 56 87
13,14,Cabinet Comptable Dar Al Moukawil,Comptabilite,"11 Avenue Al Massira, Agadir",0528 22 67 33
14,15,Societe de Telecommunications Telecom Maghreb,Telecommunications,"88 Boulevard Hassan II, Tiznit",0528 94 31 17
15,16,Centre de Formation Pro-X,Formation,"18 Rue Mohammed V, Oujda",0536 46 22 88
16,17,Hotel Prestige Palmeraie,Hotellerie,"1 Avenue des Palmeraies, Marrakech",0524 66 33 98
17,18,Societe de Publicite Maghreb Pub,Publicite,"25 Rue Abdellah Ben Yassine, Rabat",0537 86 54 29
18,19,Laboratoire dAnalyses Medicales Medilab,Sante,"13 Rue des Medecins, Agadir",0528 41 92 75
19,20,Agence Immobiliere Atlas Foncier,Immobilier,"6 Rue Tarik Ibn Ziad, Casablanca",0522 82 43 77
20,21,Societe de Location de Voitures FastRent,Automobile,"41 Boulevard Mohammed VI, Tanger",0539 38 44 51
21,22,Cabinet dAudit & Conseil Dar Al Amana,Conseil,"14 Rue Ahmed Ben Zayed, Fes",0555 37 64 92
22,23,Societe de Fabrication de Meubles Artisanat du Bois,Menuiserie,"27 Avenue des Artisans, Marrakech",0524 27 89 14
23,24,Creche Les Petits Anges,Services pour Enfants,"3 Rue des Anges, Meknes",0535 56 22 77
24,25,Societe de Formation Linguistique Poliglot,Formation,"17 Rue Ibn Khaldoun, Agadir",0528 69 13 75
25,26,Gymnase Fitness Pro,Sport,"32 Boulevard Abdelkarim El Khattabi, Casablanca",0522 34 78 56
26,27,Societe de Nettoyage Clean-Maroc,Nettoyage,"65 Avenue Mohammed V, Tanger",0539 97 45 28
27,28,Laboratoire de Recherche Scientifique InnovLab,Recherche,"78 Boulevard Al Massira, Fes",0555 18 92 33
28,29,Agence Evenementielle Prestige Events,Evenementiel,"29 Rue des Evenements, Marrakech",0524 73 24 81
29,30,Societe de Restauration La Saveur du Monde,Restauration,"2 Rue des Saveurs, Rabat",0537 37 66 46
30,31,Agence de Recrutement JobMakers,Ressources Humaines,"9 Avenue des Recruteurs, Agadir",0528 56 98 11
31,32,Cabinet de Decoration Interieure Art & Design,Decoration,"21 Rue des Artistes, Casablanca",0522 71 29 38
32,33,Institut de Beaute Belle & Zen,Bien-etre,"45 Boulevard Al Wahda, Tanger",0539 62 33 87
33,34,Entreprise de Peinture Coloris Express,Peinture,"51 Avenue Mechouar, Meknes",0535 41 88 42
34,35,Agence de Modeles Maghreb Models,Mannequinat,"37 Rue des Mannequins, Fes",0555 62 14 28
35,36,Societe de Securite Atlas Protection,Securite,"19 Boulevard de la Securite, Marrakech",0524 82 67 14
36,37,Galerie dArt Lumiere du Maghreb,Art,"24 Rue des Artistes, Rabat",0537 23 89 47
37,38,Societe de Trading Maroc Trade,Trading,"77 Avenue Al Farah, Agadir",0528 38 47 55
38,39,Agence de Communication Sociale Impact,Communication,"31 Avenue des Reseaux, Casablanca",0522 47 84 65
39,40,Studio de Photographie Photo Pro,Photographie,"26 Rue des Photographes, Tanger",0539 28 99 17
40,41,Societe de Menuiserie Al Ferdaous,Menuiserie,"99 Boulevard des Artisans, Fes",0555 52 57 33
41,42,Societe de Transport Al Bahja,Transport,"12 Avenue des Transports, Marrakech",0524 48 68 92
42,43,Cabinet Medical Al Imane,Medecine,"8 Rue des Medecins, Rabat",0537 42 18 97
43,44,Boucherie Charcuterie La Medina,Alimentation,"6 Avenue Ibn Hazm, Agadir",0528 37 65 23
44,45,Agence de Voyages Al Quds,Tourisme,"15 Rue des Voyageurs, Tanger",0539 64 31 19
45,46,Societe de Construction Al Aman,BTP,"7 Rue des Batisseurs, Fes",0555 69 22 24
46,47,Societe de Recyclage Green Planet,Recyclage,"23 Boulevard de lEnvironnement, Marrakech",0524 39 88 15
47,48,Creche Les Petits Genies,Services pour Enfants,"11 Rue des Etoiles, Meknes",0535 24 76 38
48,49,Societe de Security Systems Atlas Secur,Securite,"34 Avenue de la Surete, Casablanca",0522 92 18 53
49,50,Salon de Coiffure Star Look,Coiffure,"5 Avenue des Coiffeurs, Agadir",0528 53 27 41
